Id,Title,Episodes,Year,YearStart,YearEnd,TotalYears,EpisodesPerYear,Channel,American company,Technique,IMDb,google_user_rating
202,Bucky and Pepito,36,1959-1960,1959,1960,1,36,Syndication,Trans-Artists Productions,Traditional,2.8,39
418,Dino Pop!,36,2023-2024,2023,2024,1,36,Peacock,Mobius.LabKids,CGI,7.6,87
545,The Flintstone Kids,36,1986-1987,1986,1987,1,36,ABC,Hanna-Barbera,Traditional,5.8,86
825,The Kid Super Power Hour with Shazam!,36,1981-1982,1981,1982,1,36,NBC,Filmation,Traditional,6.3,88
1209,Pound Puppies (1986),36,1986-1987,1986,1987,1,36,ABC,Hanna-Barbera,Traditional,6.4,95
1355,The Secret Saturdays,36,2008-2009,2008,2009,1,36,Cartoon Network,PorchLight Entertainment,Traditional,7,88
1431,The Superman/Aquaman Hour of Adventure,36,1967-1968,1967,1968,1,36,CBS,Filmation,Traditional,7.4,88
633,Goldie & Bear,107,2015-2018,2015,2018,3,35.66666667,Disney Junior,"Titmouse, Inc.",CGI,6.2,76
1615,Transformers: Robots in Disguise,71,2015-2017,2015,2017,2,35.5,Cartoon Network,Hasbro Studios,Traditional,5.9,77
22,Adventure Time,283,2010-2018,2010,2018,8,35.375,Cartoon Network,Frederator StudiosCartoon Network Studios,Traditional,8.6,95
1565,Teen Titans Go!,387,2013-2024,2013,2024,11,35.18181818,Cartoon Network,Warner Bros. AnimationDC Entertainment,Flash,5.5,74
1720,We Bare Bears,140,2015-2019,2015,2019,4,35,Cartoon Network,Cartoon Network Studios,Traditional,7.9,93
711,Hoppity Hooper,104,1964-1967,1964,1967,3,34.66666667,ABC,Jay Ward Productions,Traditional,7.8,94
1680,Unikitty!,104,2017-2020,2017,2020,3,34.66666667,Cartoon Network,The Lego GroupWarner Bros. Animation,Flash,5.5,86
1697,Viva Pinata,104,2006-2009,2006,2009,3,34.66666667,4Kids TV,Bardel Entertainment,CGI,5.7,57
940,Mad,103,2010-2013,2010,2013,3,34.33333333,Cartoon Network,Warner Bros. Animation,Traditional/Stop-Motion/CGI/Flash,7.2,85
834,King Leonardo and His Short Subjects,102,1960-1963,1960,1963,3,34,NBC,Total Television,Traditional,7.3,96
1142,Oh Yeah! Cartoons,102,1998-2001,1998,2001,3,34,Nickelodeon,Frederator Studios,Traditional,7.4,72
138,The Batman/Superman Hour,34,1968-1969,1968,1969,1,34,CBS,Filmation,Traditional,6.9,88
1003,Misterjaw,34,1976-1977,1976,1977,1,34,NBC,DePatie-Freleng Enterprises,Traditional,7.1,98
322,Colonel Bleep,100,1957-1960,1957,1960,3,33.33333333,Syndication,Richard M. Ullcan Inc.,Traditional,6.5,96
447,DuckTales (1987),100,1987-1990,1987,1990,3,33.33333333,Syndication,Walt Disney Television Animation,Traditional,8,94
1039,My Gym Partner's a Monkey,100,2005-2008,2005,2008,3,33.33333333,Cartoon Network,Cartoon Network Studios,Traditional,5.8,85
981,Middlemost Post,33,2021-2022,2021,2022,1,33,Nickelodeon,Nickelodeon Animation Studio,Traditional,6.3,71
1798,The Yogi Bear Show,33,1961-1962,1961,1962,1,33,Syndication,Hanna-Barbera,Traditional,6.6,88
1612,The Transformers,98,1984-1987,1984,1987,3,32.66666667,Syndication,Sunbow Entertainment,Traditional,8,88
40,The Adventures of Rocky and Bullwinkle and Friends,163,1959-1964,1959,1964,5,32.6,ABCNBC,Jay Ward Productions,Traditional,7.8,92
311,Clarence,130,2014-2018,2014,2018,4,32.5,Cartoon Network,Cartoon Network Studios,Traditional,6.8,86
1577,ThunderCats (1985),130,1985-1989,1985,1989,4,32.5,Syndication,Rankin/Bass Productions,Traditional,7.9,91
114,Angela Anaconda,65,1999-2001,1999,2001,2,32.5,Fox Kids,C.O.R.E. Digital Pictures,Flash,4.6,41
869,The Legend of Prince Valiant,65,1991-1993,1991,1993,2,32.5,Kids' WB,Hearst Entertainment Productions,Traditional,7.4,91
1066,Monsuno,65,2012-2014,2012,2014,2,32.5,Nicktoons,Topps Animation,Traditional,4.9,92
1171,PB&J Otter,65,1998-2000,1998,2000,2,32.5,Playhouse Disney,Jumbo PicturesWalt Disney Television Animation,Traditional,6.9,82
1246,Police Academy,65,1988-1990,1988,1990,2,32.5,Syndication,Ruby-Spears Enterprises,Traditional,4.6,79
1813,Zoboomafoo,65,1999-2001,1999,2001,2,32.5,PBS Kids,Maryland Public Television,Stop-motion/Live-action,7.6,95
1380,The Smurfs,258,1981-1989,1981,1989,8,32.25,NBC,Hanna-Barbera,Traditional,7.1,85
129,Bailey's Comets,32,1973-1974,1973,1974,1,32,CBS,DePatie-Freleng Enterprises,Traditional,6.8,81
986,Mighty Man and Yukk,32,1980-1981,1980,1981,1,32,ABC,Ruby-Spears Enterprises,Traditional,5.4,87
1477,Star Wars Forces of Destiny,32,2017-2018,2017,2018,1,32,YouTube,Lucasfilm,Flash,5.4,45
1272,Recess,127,1997-2001,1997,2001,4,31.75,ABC,Walt Disney Television Animation,Traditional,7.8,88
583,G.I. Joe: A Real American Hero (1983),95,1983-1986,1983,1986,3,31.66666667,Syndication,Sunbow Entertainment,Traditional,8,86
1112,New Looney Tunes,156,2015-2020,2015,2020,5,31.2,Cartoon NetworkBoomerang,Warner Bros. Animation,Traditional,5.8,79
985,Mighty Magiswords,92,2016-2019,2016,2019,3,30.66666667,Cartoon Network,Cartoon Network Studios,Flash,4.6,78
1644,Thomas & Friends: All Engines Go,92,2021-2024,2021,2024,3,30.66666667,Cartoonito,Mattel Television,Flash,2.5,41
929,The Loud House,245,2016-2024,2016,2024,8,30.625,Nickelodeon,Nickelodeon Animation Studio,Flash,7,92
1651,Total DramaRama,153,2018-2023,2018,2023,5,30.6,Cartoon Network,Fresh TV,Flash,4,52
424,Doc McStuffins,244,2012-2020,2012,2020,8,30.5,Disney Junior,Brown Bag Films,CGI,6.5,82
256,Butterbean's Cafe,60,2018-2020,2018,2020,2,30,Nickelodeon,Nickelodeon Animation Studio,CGI,6.6,83
698,The High Fructose Adventures of Annoying Orange,60,2012-2014,2012,2014,2,30,Cartoon Network,"Annoying Orange, Inc.",Live-Action/Flash,1.9,71
416,Dilbert,30,1999-2000,1999,2000,1,30,UPN,Adelaide ProductionsIdbox,Traditional,7.3,89
828,Kinderwood,30,2020-2021,2020,2021,1,30,Noggin,"Titmouse, Inc.",Traditional,8.2,95
936,Lu & the Bally Bunch,30,2023-2024,2023,2024,1,30,Cartoonito,Brown Bag Films,Flash,8.7,64
1427,Super President,30,1967-1968,1967,1968,1,30,NBC,DePatie-Freleng Enterprises,Traditional,6.6,85
1605,Top Cat,30,1961-1962,1961,1962,1,30,ABC,Hanna-Barbera,Traditional,7.1,90
304,The Chicken Squad,29,2021-2022,2021,2022,1,29,Disney Junior,Wild Canary Animation,CGI,5.8,72
764,Inspector Gadget,86,1983-1986,1983,1986,3,28.66666667,Syndication,DIC Entertainment,Traditional,6.8,89
